species_id	label	group
Callep1130_1_FilteredModels2_proteins_2025-07-15	Callep1130_1_FilteredModels2_proteins_2025-07-15	calcifying
Chrlea393_1_FilteredModels1_proteins_2024-11-26	Chrlea393_1_FilteredModels1_proteins_2024-11-26	non_calcifying
Chrpa1_1_FilteredModels1_proteins_2023-11-20	Chrpa1_1_FilteredModels1_proteins_2023-11-20	non_calcifying
Chrsim136_1_FilteredModels1_proteins_2025-02-25	Chrsim136_1_FilteredModels1_proteins_2025-02-25	non_calcifying
Chrsp_1_GeneCatalog_proteins_20180813.aa	Chrsp_1_GeneCatalog_proteins_20180813.aa	non_calcifying
Dirot4501_1_FilteredModels1_proteins_2024-03-26	Dirot4501_1_FilteredModels1_proteins_2024-03-26	non_calcifying
Emihu1_FilteredModels6_proteins_2021-09-22	Emihu1_FilteredModels6_proteins_2021-09-22	calcifying
Gepoce1_GeneCatalog_proteins_20180824.aa	Gepoce1_GeneCatalog_proteins_20180824.aa	calcifying
Hymcor1016_1_FilteredModels2_proteins_2025-07-20	Hymcor1016_1_FilteredModels2_proteins_2025-07-20	calcifying
Imarot2298_1_FilteredModels1_proteins_2024-05-09	Imarot2298_1_FilteredModels1_proteins_2024-05-09	non_calcifying
Imarot4477_3_FilteredModels1_proteins_2024-11-15	Imarot4477_3_FilteredModels1_proteins_2024-11-15	non_calcifying
Imarot4500_1_FilteredModels1_proteins_2024-12-15	Imarot4500_1_FilteredModels1_proteins_2024-12-15	non_calcifying
Imarot4780_1_FilteredModels1_proteins_2025-01-08	Imarot4780_1_FilteredModels1_proteins_2025-01-08	non_calcifying
Imarot704_1_FilteredModels1_proteins_2024-10-21	Imarot704_1_FilteredModels1_proteins_2024-10-21	non_calcifying
IsochDm2_1_FilteredModels1_proteins_2024-11-19	IsochDm2_1_FilteredModels1_proteins_2024-11-19	non_calcifying
Isogal1_GeneCatalog_proteins_20180824.aa	Isogal1_GeneCatalog_proteins_20180824.aa	non_calcifying
Ochro3194_1_FilteredModels3_proteins_2025-06-04	Ochro3194_1_FilteredModels3_proteins_2025-06-04	calcifying
Pavlova2550_1_FilteredModels1_proteins_2024-04-27	Pavlova2550_1_FilteredModels1_proteins_2024-04-27	non_calcifying
Pavlova5622_1_FilteredModels1_proteins_2024-06-07	Pavlova5622_1_FilteredModels1_proteins_2024-06-07	non_calcifying
Pavlova6257_1_FilteredModels1_proteins_2023-12-11	Pavlova6257_1_FilteredModels1_proteins_2023-12-11	non_calcifying
Phaant1_GeneCatalog_proteins_20181014.aa	Phaant1_GeneCatalog_proteins_20181014.aa	non_calcifying
Phaglo1_GeneCatalog_proteins_20181013.aa	Phaglo1_GeneCatalog_proteins_20181013.aa	non_calcifying
Platy1217_1_FilteredModels1_proteins_2025-01-21	Platy1217_1_FilteredModels1_proteins_2025-01-21	non_calcifying
Pleelo874_1_FilteredModels1_proteins_2025-07-25	Pleelo874_1_FilteredModels1_proteins_2025-07-25	calcifying
Pparv12B1_1_1_FilteredModels1_proteins_2025-04-20	Pparv12B1_1_1_FilteredModels1_proteins_2025-04-20	non_calcifying
Psesor5268_1_FilteredModels1_proteins_2025-09-09	Psesor5268_1_FilteredModels1_proteins_2025-09-09	non_calcifying
Umbfol2878_1_FilteredModels2_proteins_2025-06-05	Umbfol2878_1_FilteredModels2_proteins_2025-06-05	calcifying
