species_id	label	group
Calcidiscus_leptoporus	Calcidiscus leptoporus	calcifying
Emiliania_huxleyi	Emiliania huxleyi	calcifying
Gephyrocapsa_oceanica	Gephyrocapsa oceanica	calcifying
Hymenomonas_coronata	Hymenomonas coronata	calcifying
Ochrosphaera_neapolitana	Ochrosphaera neapolitana	calcifying
Pleurochrysis_elongata	Pleurochrysis elongata	calcifying
Umbilicosphaera_foliosa	Umbilicosphaera foliosa	calcifying
Chrysochromulina_leadbeateri	Chrysochromulina leadbeateri	non_calcifying
Chrysochromulina_parva	Chrysochromulina parva	non_calcifying
Chrysochromulina_sp	Chrysochromulina sp.	non_calcifying
Pavlova_lutheri	Pavlova lutheri	non_calcifying
Pavlova_gyrans	Pavlova gyrans	non_calcifying
Isochrysis_galbana	Isochrysis galbana	non_calcifying
Tisochrysis_lutea	Tisochrysis lutea	non_calcifying
Phaeocystis_globosa	Phaeocystis globosa	non_calcifying
Phaeocystis_antarctica	Phaeocystis antarctica	non_calcifying
Imantonia_rotunda	Imantonia rotunda	non_calcifying
Dicrateria_rotunda	Dicrateria rotunda	non_calcifying
Rebecca_salina	Rebecca salina	non_calcifying
Platychrysis_pigra	Platychrysis pigra	non_calcifying
Syracosphaera_noncalc_1	Syracosphaera noncalc 1	non_calcifying
Syracosphaera_noncalc_2	Syracosphaera noncalc 2	non_calcifying
Chrysotila_carterae	Chrysotila carterae	non_calcifying
Prymnesium_parvum	Prymnesium parvum	non_calcifying
Haptolina_ericina	Haptolina ericina	non_calcifying
Diacronema_lutheri	Diacronema lutheri	non_calcifying
Ochromonas_like_outgroup	Ochromonas-like outgroup	non_calcifying
